symbol,name,market_code,asset_class,currency,tick_size,lot_size
29460,케이씨,KRX,kr_stock,KRW,100,1
58430,포스코스틸리온,KRX,kr_stock,KRW,100,1
72710,농심홀딩스,KRX,kr_stock,KRW,100,1
126720,수산인더스트리,KRX,kr_stock,KRW,100,1
357120,코람코라이프인프라리츠,KRX,kr_stock,KRW,100,1
17810,풀무원,KRX,kr_stock,KRW,100,1
9160,SIMPAC,KRX,kr_stock,KRW,100,1
344820,KCC글라스,KRX,kr_stock,KRW,100,1
60980,HL홀딩스,KRX,kr_stock,KRW,100,1
650,천일고속,KRX,kr_stock,KRW,100,1
3720,삼영,KRX,kr_stock,KRW,100,1
4700,조광피혁,KRX,kr_stock,KRW,100,1
105630,한세실업,KRX,kr_stock,KRW,100,1
170900,동아에스티,KRX,kr_stock,KRW,100,1
97520,엠씨넥스,KRX,kr_stock,KRW,100,1
78520,에이블씨엔씨,KRX,kr_stock,KRW,100,1
89590,제주항공,KRX,kr_stock,KRW,100,1
417310,코람코더원리츠,KRX,kr_stock,KRW,100,1
5610,삼립,KRX,kr_stock,KRW,100,1
2810,삼영무역,KRX,kr_stock,KRW,100,1
183190,아세아시멘트,KRX,kr_stock,KRW,100,1
194370,제이에스코퍼레이션,KRX,kr_stock,KRW,100,1
9290,광동제약,KRX,kr_stock,KRW,100,1
84010,대한제강,KRX,kr_stock,KRW,100,1
34830,한국토지신탁,KRX,kr_stock,KRW,100,1
11760,현대코퍼레이션,KRX,kr_stock,KRW,100,1
200880,서연이화,KRX,kr_stock,KRW,100,1
5720,넥센,KRX,kr_stock,KRW,100,1
91810,트리니티항공,KRX,kr_stock,KRW,100,1
1390,KG케미칼,KRX,kr_stock,KRW,100,1
92220,KEC,KRX,kr_stock,KRW,100,1
7690,국도화학,KRX,kr_stock,KRW,100,1
128820,대성산업,KRX,kr_stock,KRW,100,1
02826K,삼성물산우B,KRX,kr_stock,KRW,100,1
1230,동국홀딩스,KRX,kr_stock,KRW,100,1
18250,애경산업,KRX,kr_stock,KRW,100,1
92230,KPX홀딩스,KRX,kr_stock,KRW,100,1
2900,TYM,KRX,kr_stock,KRW,100,1
26890,스틱인베스트먼트,KRX,kr_stock,KRW,100,1
16800,퍼시스,KRX,kr_stock,KRW,100,1
17860,DS단석,KRX,kr_stock,KRW,100,1
104700,한국철강,KRX,kr_stock,KRW,100,1
1750,한양증권,KRX,kr_stock,KRW,100,1
126560,현대퓨처넷,KRX,kr_stock,KRW,100,1
108670,LX하우시스,KRX,kr_stock,KRW,100,1
24720,콜마홀딩스,KRX,kr_stock,KRW,100,1
84690,대상홀딩스,KRX,kr_stock,KRW,100,1
1940,KISCO홀딩스,KRX,kr_stock,KRW,100,1
5010,휴스틸,KRX,kr_stock,KRW,100,1
2310,아세아제지,KRX,kr_stock,KRW,100,1
11500,한농화성,KRX,kr_stock,KRW,100,1
286940,롯데이노베이트,KRX,kr_stock,KRW,100,1
272450,진에어,KRX,kr_stock,KRW,100,1
1250,GS글로벌,KRX,kr_stock,KRW,100,1
900140,엘브이엠씨홀딩스,KRX,kr_stock,KRW,100,1
33270,유나이티드제약,KRX,kr_stock,KRW,100,1
5500,삼진제약,KRX,kr_stock,KRW,100,1
3920,남양유업,KRX,kr_stock,KRW,100,1
92200,디아이씨,KRX,kr_stock,KRW,100,1
17390,서울가스,KRX,kr_stock,KRW,100,1
490,대동,KRX,kr_stock,KRW,100,1
680,LS네트웍스,KRX,kr_stock,KRW,100,1
6805,미래에셋증권우,KRX,kr_stock,KRW,100,1
4430,송원산업,KRX,kr_stock,KRW,100,1
96760,JW홀딩스,KRX,kr_stock,KRW,100,1
37270,YG PLUS,KRX,kr_stock,KRW,100,1
123890,한국자산신탁,KRX,kr_stock,KRW,100,1
37710,광주신세계,KRX,kr_stock,KRW,100,1
1460,BYC,KRX,kr_stock,KRW,100,1
2320,한진,KRX,kr_stock,KRW,100,1
475560,더본코리아,KRX,kr_stock,KRW,100,1
3520,영진약품,KRX,kr_stock,KRW,100,1
4360,세방,KRX,kr_stock,KRW,100,1
5680,삼영전자,KRX,kr_stock,KRW,100,1
3200,일신방직,KRX,kr_stock,KRW,100,1
12200,계양전기,KRX,kr_stock,KRW,100,1
334890,이지스밸류플러스리츠,KRX,kr_stock,KRW,100,1
3960,사조대림,KRX,kr_stock,KRW,100,1
1780,알루코,KRX,kr_stock,KRW,100,1
3070,코오롱글로벌,KRX,kr_stock,KRW,100,1
1340,PKC,KRX,kr_stock,KRW,100,1
88260,이리츠코크렙,KRX,kr_stock,KRW,100,1
34120,SBS,KRX,kr_stock,KRW,100,1
136490,선진,KRX,kr_stock,KRW,100,1
3120,일성아이에스,KRX,kr_stock,KRW,100,1
35510,신세계 I&C,KRX,kr_stock,KRW,100,1
134380,미원화학,KRX,kr_stock,KRW,100,1
320,노루홀딩스,KRX,kr_stock,KRW,100,1
5950,이수화학,KRX,kr_stock,KRW,100,1
53690,한미글로벌,KRX,kr_stock,KRW,100,1
540,흥국화재,KRX,kr_stock,KRW,100,1
226320,잇츠한불,KRX,kr_stock,KRW,100,1
50,경방,KRX,kr_stock,KRW,100,1
11690,와이투솔루션,KRX,kr_stock,KRW,100,1
4380,삼익THK,KRX,kr_stock,KRW,100,1
241590,화승엔터프라이즈,KRX,kr_stock,KRW,100,1
44450,KSS해운,KRX,kr_stock,KRW,100,1
1130,대한제분,KRX,kr_stock,KRW,100,1
430,대원강업,KRX,kr_stock,KRW,100,1
8350,남선알미늄,KRX,kr_stock,KRW,100,1
30210,다올투자증권,KRX,kr_stock,KRW,100,1
9470,삼화전기,KRX,kr_stock,KRW,100,1
4560,현대비앤지스틸,KRX,kr_stock,KRW,100,1
7160,사조산업,KRX,kr_stock,KRW,100,1
432320,KB스타리츠,KRX,kr_stock,KRW,100,1
1790,대한제당,KRX,kr_stock,KRW,100,1
13890,지누스,KRX,kr_stock,KRW,100,1
0030R0,대신밸류리츠,KRX,kr_stock,KRW,100,1
4310,현대약품,KRX,kr_stock,KRW,100,1
4980,성신양회,KRX,kr_stock,KRW,100,1
122900,아이마켓코리아,KRX,kr_stock,KRW,100,1
377190,디앤디플랫폼리츠,KRX,kr_stock,KRW,100,1
33920,무학,KRX,kr_stock,KRW,100,1
84680,이월드,KRX,kr_stock,KRW,100,1
51905,LG생활건강우,KRX,kr_stock,KRW,100,1
404990,신한서부티엔디리츠,KRX,kr_stock,KRW,100,1
244920,에이플러스에셋,KRX,kr_stock,KRW,100,1
1630,종근당홀딩스,KRX,kr_stock,KRW,100,1
35150,백산,KRX,kr_stock,KRW,100,1
348950,제이알글로벌리츠,KRX,kr_stock,KRW,100,1
